Movie,Year,Plex Status,Source,IMDB ID,TMDB ID,Collections,Tags,Posters,,Matt,Gabe,Griffin,Dan,Andrew,Ice,Image
,,,,,,,,,,,,,,,,
21,2008,Yes,,tt0478087,8065,Crime|History,Boston,,,,,,,,,
36,2012,Arr - X,,tt2417540,138191,Drama,Thai,,,,,,,,,
42,2013,****Request,,tt0453562,109410,Biopic|Sports,,,,,,,,,,
65,2023,Yes,,tt12261776,700391,SciFi|Thriller,,,,,,,,,,
88,2022,Arr - U,,tt19800020,965073,Politics|Thriller,,,,,,,,,,
300,2006,Yes,,tt0416449,1271,War|Action,,,,,,,,,,
1917,2019,Yes,,tt8579674,530915,War|Action,,War,,,,,,,,
1945,2017,***Request,,tt5815492,440342,Drama,Hungarian,,,,,,,,,
1984,1997,**Request,,tt0118849,21334,Family,,,,,,,,,,
 October (Ten Days that Shook the World),1927,,,tt0018217,697,History,Propaganda,,,,,,,,,
(500) Days of Summer,2009,Yes,,tt1022603,19913,RomCom|Romance,,RomCom,,7.5,,,,,,"https://m.media-amazon.com/images/I/51ZEoxtXybL._AC_UF894,1000_QL80_.jpg"
10 Cloverfield Lane,2016,Yes,,tt1179933,333371,Thriller|Apocalypse,,,,,,,,,,
10 Things I Hate About You,1999,Yes,,tt0147800,4951,RomCom,,,,,,,,,,
11 Minutes Ago,2007,*****Request,,tt0423783,86556,Time Travel|Romance|SciFi,,,,,,,,,,
12 Angry Men,1957,Yes,,tt0050083,389,Drama|Legal,,Drama|1950s,,,,,,,,
12 Years a Slave,2013,Yes,,tt2024544,76203,History|Drama,,,,,,,,,,
127 Hours,2010,**Request,,tt1542344,44115,Biopic|Drama,,,,,,,,,,
13 Going on 30,2004,Yes,,tt0337563,10096,RomCom,,,,,,,,,,
17 Again,2009,****Request,,tt0974661,16996,RomCom,,,,,,,,,,
2 Fast 2 Furious,2003,Yes,,tt0322259,584,Action,,,,,,,,,,
20000 Leagues Under the Sea,1955,Yes,,tt0046672,173,Adventure,,,,,,,,,,
2001: A Space Odyssey,1968,Yes,,tt0062622,62,SciFi,,SciFi|1960s,,,,,,,,
20th Century Women,2016,***Request,,tt4385888,342737,Dramedy,,,,,,,,,,
21 Grams,2003,***Request,,tt0315733,470,Crime|Thriller,,,,,,,,,,
21 Jump Street,2012,Yes,,tt1232829,64688,Comedy,,2010s,,,,,,,,
25th Hour,2002,Yes,,tt0307901,1429,Drama,,,,,,,,,,
27 Dresses,2008,Yes,,tt0988595,6557,RomCom,,,,,,,,,,
28 Days Later...,2002,Yes,,tt0289043,170,Horror|Apocalypse,,,,,,,,,,
3 Idiots,2009,*Request,,tt1187043,20453,Comedy,,,,,,,,,,
3: The Dale Earnhardt Story,2004,,,tt0401088,30762,Sports,,,,,,,,,,
3:10 to Yuma,1957,*Request,,tt0050086,14168,Western,,,,,,,,,,
3:10 to Yuma,2007,Yes,,tt0381849,5176,Western,,,,,,,,,,
300: Rise of an Empire,2014,,,tt1253863,53182,Action,,,,,,,,,,
5 Centimeters per Second,2007,Arr,,tt0983213,38142,Anime,,,,,,,,,,
50 First Dates,2004,Yes,,tt0343660,1824,RomCom,,,,,,,,,,
50/50,2011,*****Request,,tt1306980,40807,Dramedy,,,,,,,,,,
50/50,2011,,,tt1306980,40807,Dramedy,,,,,,,,,,
61*,2001,**Request,,tt0250934,20536,Sports,,,,,,,,,,
7 Days in Hell,2015,Yes,,tt3895884,287689,Sports,Mockumentary,Mockumentary,,,,,,,,
8 1/2,1963,Yes,,tt0056801,422,Dramedy,Italian,,,,,,,,,
8 Mile,2002,Yes,,tt0298203,65,Biopic|Music,,Biopic,,,,,,,,
80 for Brady,2023,Yes,,tt18079362,942922,Comedy|Drama,,,,,,,,,,
A Bad Moms Christmas,2017,Arr,,tt6359956,431530,Christmas,,,,,,,,,,
A Beautiful Day in the Neighborhood,2019,Yes,,tt3224458,501907,Biopic,,Biopic,,,,,,,,
A Beautiful Mind,2001,Yes,,tt0268978,453,Biopic|Drama,Psychology,Biopic,,,,,,,,
A Boy Named Charlie Brown,1969,,,tt0064107,15374,2D Animation,,,,,,,,,,
A Bridge Too Far,1977,,,tt0075784,5902,War,,,,,,,,,,
A Brighter Summer Day,1991,Yes,,tt0101985,15804,Drama|Romance|Politics,Taiwanese,,,,,,,,,
A Bronx Tale,1993,Yes,,tt0106489,1607,Crime|Drama,,,,,,,,,,
A Bug's Life,1998,Yes,,tt0120623,9487,3D Animation,,,,,,,,,,
A Bullet in the Gun Barrel,1958,*Request,Youtube,tt0052337,192336,Crime,French,,,,,,,,,
A Charlie Brown Christmas,1965,Yes,,tt0059026,13187,Christmas,,,,,,,,,,
A Charlie Brown Thanksgiving,1973,Yes,,tt0068359,13479,2D Animation,,,,,,,,,,
A Chinese Odyssey: Part One - Pandora's Box,1995,**Request,,tt0112778,13345,Fantasy|Adventure,Cantonese,,,,,,,,,
A Chinese Odyssey: Part Two - Cinderella,1995,**Request,,tt0114996,21835,Fantasy|Adventure,Cantonese,,,,,,,,,
A Christmas Carol,1951,,,tt0044008,13188,Christmas,,,,,,,,,,
A Christmas Carol,2009,,,tt1067106,17979,Christmas,,,,,,,,,,
A Christmas Story,1983,Yes,,tt0085334,850,Christmas,,Christmas,,,,,,,,
A Cinderella Story,2004,,,tt0356470,11247,Comedy,,,,,,,,,,
A Civil Action,1998,,,tt0120633,9422,Legal,,,,,,,,,,
A Clockwork Orange,1971,Yes,,tt0066921,185,Crime,,1970s,,,,,,,,
A Dangerous Method,2011,Yes,,tt1571222,48231,Biopic|Romance|Psychology|Drama,,,,,,,,,,
A Few Good Men,1992,Yes,,tt0104257,881,Legal|Politics,,Politics,,,,,,,,
A Fish Called Wanda,1988,Yes,,tt0095159,623,Heist|Comedy,,,,,,,,,,
A Fistful of Dollars,1964,Yes,,tt0058461,391,Western,,,,,,,,,,
A Ghost Story,2017,Yes,,tt6265828,428449,Supernatural|Drama,,Supernatural,,,,,,,,
A Girl Walks Home Alone at Night,2014,*****Request,,tt2326554,252171,Horror|Monster,,,,,,,,,,
A Good Year,2006,Yes,,tt0401445,9726,Romance,,,,,,,,,,
A Goofy Movie,1995,**Request,,tt0113198,15789,2D Animation,,,,,,,,,,
A Hard Day's Night,1964,*Request,,tt0058182,704,Music,Mockumentary,,,,,,,,,
A Haunting in Venice,2023,Yes,,tt22687790,945729,Mystery|Thriller,,,,,,,,,,
A Knight's Tale,2001,******Request,,tt0183790,9476,Action|Adventure|Romance,,,,,,,,,,
A Knights Tale,2001,****Request,,tt0183790,9476,Adventure|Action,,,,,,,,,,
A League of Their Own,1992,Yes,,tt0104694,11287,Sports,,,,,,,,,,
A Man Called Otto,2022,Yes,,tt7405458,937278,Dramedy|Drama,,,,,,,,,,
A Man for All Seasons,1966,,,tt0060665,874,Legal,,,,,,,,,,
A Midsummer Night's Dream,1999,**Request,,tt0140379,10210,Drama,Shakespeare,,,,,,,,,
A Mighty Wind,2003,****Request,,tt0310281,13370,Music|Comedy,Mockumentary,,,,,,,,,
A Million Ways to Die in the West,2014,,,tt2557490,188161,Western|Comedy,,,,,,,,,,
A Most Violent Year,2014,****Request,,tt2937898,241239,Crime|Drama,,,,,,,,,,
A Most Wanted Man,2014,,,tt1972571,157849,Crime|Thriller,,,,,,,,,,
A Mouthful of Air,2021,**Request,,tt10925852,714195,Drama,Psychology,,,,,,,,,
A New Old Play,2021,*****Request,,tt14864160,513305,Drama|History,Chinese,,,,,,,,,
A Nightmare on Elm Street,1984,****Request,,tt0087800,377,Horror,,,,,,,,,,
A Nightmare on Elm Street,2010,,,tt1179056,23437,Horror,,,,,,,,,,
A Nightmare on Elm Street 2: Freddy's Revenge,1985,,,tt0089686,10014,Horror,,,,,,,,,,
A Nightmare on Elm Street 3: Dream Warriors,1987,,,tt0093629,10072,Horror,,,,,,,,,,
A Nightmare on Elm Street 4: The Dream Master,1988,,,tt0095742,10131,Horror,,,,,,,,,,
A Nightmare on Elm Street 5: The Dream Child,1989,,,tt0097981,10160,Horror,,,,,,,,,,
A Prophet,2009,*Request,,tt1235166,21575,Crime,French,,,,,,,,,
A Quiet Place,2018,Yes,,tt6644200,447332,Apocalypse|Thriller,,,,,,,,,,
A Quiet Place Part II,2021,Yes,,tt8332922,520763,Apocalypse|Thriller,,,,,,,,,,
A Rainy Day in New York,2019,Yes,,tt7139936,475303,RomCom,,,,,,,,,,
A River Runs Through It,1992,,,tt0105265,293,Drama,,,,,,,,,,
A Room with a View,1985,***Request,,tt0091867,11257,Romance,,,,,,,,,,
A Scanner Darkly ,2006,Yes,,tt0405296,3509,Mystery|Supernatural,Drugs,,,,,,,,,
A Separation,2011,***Request,,tt1832382,60243,Mystery,Persian,,,,,,,,,
