Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-08-22,Ghosted,2023,https://boxd.it/4JFpPd,3.5,,Self-aware enough to turn what could have been cringey sequences into very enjoyable absurd comedy.,,2023-08-21
2023-08-22,Oppenheimer,2023,https://boxd.it/4JFzln,4,,"Such an extremely masculine film, with all the unflattering baggage that implies. That said, very enjoyable to watch and generated many interesting Wikipedia rabbit holes.",,2023-07-23
2023-08-22,Barbie,2023,https://boxd.it/4JFBEL,4,,"An extremely feminine film that was as self aware as Oppenheimer wasn’t. Had small issues with some of the messaging around empowerment (wasn’t a fan of weaponized jealously or helpless women in the face of a patriarchal virus) but overall extremely fun to watch, and anyone mad about it takes themselves far too seriously.",,2023-07-23
2023-08-22,Boogie Nights,1997,https://boxd.it/4JFGf7,3.5,,Was only a 3 until the closing scene,,2023-08-20
2023-08-29,First Reformed,2017,https://boxd.it/4LPbBp,4.5,,Gonna have to noodle on this one for a while,,2023-08-28
2023-08-30,See How They Run,2022,https://boxd.it/4M5Wfn,3.5,,"Latest in a series of self aware comedies that are more enjoyable to watch than they are actually good movies. Every shot was visually interesting, most characters were well acted and written, but otherwise a pretty straightforward whodunit.",,2023-08-29
2023-08-31,Palm Springs,2020,https://boxd.it/4Mmeop,5,,"I really loved this movie. A genuinely good take on a Groundhog Day premise and an incredibly satisfying romantic arc. The dialogue was emotionally believable and compelling in addition to being funny. Every minor character is brilliant, and the aesthetic was thoughtfully considered. It is definitely in my top 5 comedy movies in terms of enjoyment watching.",,2023-08-30
2023-09-06,Perfect Blue,1997,https://boxd.it/4O4vr3,3.5,,Simply too many r*pe scenes for an 80 minute movie to go any higher than 3.5,,2023-09-05
2023-09-08,Sorry to Bother You,2018,https://boxd.it/4OEYDf,4.5,,The manual windshield wipers were probably my favorite part. Beautiful and insane movie.,,2023-09-07
2023-09-09,This Place Rules,2022,https://boxd.it/4ORHE7,4,,"“Everybody wanted clout— don’t get me wrong. Clout means money, bro” -@jokerganggang

Just wish Andrew had been able to be in DC on January 6th.",,2023-09-08
2023-09-09,Oldboy,2003,https://boxd.it/4OYdzl,4,,"“The TV is both a clock and a calendar. It's your school, your home, your church, your friend... and your lover. But... my lover's song is too short.” — Dae-su Oh

More blood than I would have liked.",,2023-09-08
2023-09-10,Get Shorty,1995,https://boxd.it/4PggA3,3.5,,"“I asked my friend what kind of writing pays best. He said ransom notes.” - Harry

A very enjoyable watch. Probably my favorite performance by John Travolta.",,2023-09-09
2023-09-11,Aftersun,2022,https://boxd.it/4PEwaN,3.5,,"A movie to be felt more than seen. Beautiful, surprising, and well acted.",,2023-09-10
2023-09-17,Slap Shot,1977,https://boxd.it/4ReZkj,3,,"""Everybody is just on their feet screaming 'Kill Kill Kill'! This is hockey!"" — Jim Carr

Had issues with the pacing, but I’m a sucker for hockey fight scenes",,2023-09-16
2023-09-28,Past Lives,2023,https://boxd.it/4UnpuR,3,,"I just wish they gave me more about any of the characters. It was so focussed on the love triangle that it forgot to flesh out any of its members. I liked how it explored long distance relationships, and there were lots of pretty shots to look at.",,2023-09-27
2023-10-01,The Handmaiden,2016,https://boxd.it/4VffLL,4.5,,Not one to be watched with the parents,,2023-09-30
2023-10-10,Nashville,1975,https://boxd.it/4YkQiD,2.5,,The European mind cannot comprehend this film.,,2023-10-09
2023-10-14,Hands on a Hardbody: The Documentary,1997,https://boxd.it/4ZDfA3,4,,"“A car doesn’t make money, a truck makes money” - Ronald McCowan

Part sports documentary, part raw slice of life story, very American in every way. Sad Richard Altman died before finishing his version.",,2023-10-13
2023-10-28,Solaris,1972,https://boxd.it/54bCUT,4,,A very realistic amount of silence in this movie.,,2023-10-27
2023-11-08,The Interview,2014,https://boxd.it/585TML,3.5,,"David Skylark: “Kim must die! That’s the American way.”
Sook: “How many times can the US make the same mistake?”
David Skylark: “As many times as it takes!”",,2023-11-08
2023-11-24,Shake Hands with the Devil,2007,https://boxd.it/5d59Qd,3.5,,Just in case you didn’t have enough reasons to hate French and Belgian colonialism.,,2023-11-23
2023-11-25,The Holdovers,2023,https://boxd.it/5dorEd,4.5,,"Definitely biased by the fact that every other scene was in a location I recognized, but I really loved this movie. You can’t avoid comparisons to Dead Poets Society, and I found many things about The Holdovers more satisfying, and almost a response to its predecessor’s shortcomings. It was by far the prettiest and most well-composed (musically and otherwise) film I’ve seen in the boarding school micro-genre, and it only loses half a star for the limited scope of its ambition.",,2023-11-24
2023-11-25,The Great Race,1965,https://boxd.it/5douAj,2.5,,A terrible movie that almost gets three stars because its absurdity delivered consistent laughs,,2023-11-22
2023-12-02,Beyond the Infinite Two Minutes,2020,https://boxd.it/5fPFT9,4.5,,"Endearing, Scrappy, Charming, Clever. Alone with Primer far atop my leaderboard for time travel movies",,2023-12-01
2023-12-10,Moulin Rouge!,2001,https://boxd.it/5iByl9,4,,"Missed about the first fifteen minutes, but was brought up to speed.",,2023-12-09
2023-12-17,The Barkley Marathons: The Race That Eats Its Young,2014,https://boxd.it/5kOrjp,4,,Really makes one want to get into speed hiking,,2023-12-16
2023-12-22,The Law,1990,https://boxd.it/5n32lj,4,,"A simple movie, but in a humble way and not a small way. Many of the landscape shots were visually and conceptually remarkable and are likely to stick with me.",,2023-12-21
2023-12-28,A Haunting in Venice,2023,https://boxd.it/5q2C9D,4,,Tina Fey took me out of it a little bit but otherwise a very solid whodunit,,2023-12-27
2023-12-30,Wonka,2023,https://boxd.it/5rbJGB,3.5,,"<blockquote>Noodle: “The greedy beat the needy, Willy. That’s just the way of the world.”</blockquote><blockquote>Willy: “I guess that’s why there’s only one thing we can do.”</blockquote><blockquote>Noodle: “What’s that?”
</blockquote><blockquote>Willy : “Change the world!”
</blockquote>
Not unlike the experience of eating an entire bar of chocolate. Overwhelmingly sweet, great for a few bites and then it just keeps going. The acting was really good though.",,2023-12-29
2024-01-05,"I Love You, Man",2009,https://boxd.it/5uYOJZ,2.5,,"<blockquote>“I love you, Broseph Goebbels.”</blockquote>
One of those 2000s comedies where even the extras are big name stars.",,2024-01-04
2024-01-06,Team America: World Police,2004,https://boxd.it/5vAWjB,2,,"""<i>We've lost intelligence! I repeat, we have no intelligence!</i>"" about sums it up. 

The puking scene was unbearable and the puppets were just so hard to handle. The satire was decent but every joke was repeated a half dozen times until you were tired of it.",,2024-01-05
2024-01-07,The Wolf of Snow Hollow,2020,https://boxd.it/5wgxp9,3,,"<blockquote>“You want people to stop talking shit about the police? Do better police work.”</blockquote>Too many jump scares and too much gore for my taste, but way less than in a typical werewolf movie. Would have liked more mystery but didn’t dislike the choices it made.",,2024-01-06
2024-01-07,Moulin Rouge!,2001,https://boxd.it/5wqUfV,4,Yes,"<blockquote>“Without trust, there can be no love. Jealousy, yes, jealousy will drive you mad.”</blockquote>
Watched again with the family in full. 

This movie starts at 11 and stays there the entire time. Just wonderful.",,2023-12-30
