Date,Name,Year,Letterboxd URI
2023-08-21,Parasite,2019,https://boxd.it/hTha
2023-08-21,Fight Club,1999,https://boxd.it/2a9q
2023-08-21,Joker,2019,https://boxd.it/h4cS
2023-08-21,Knives Out,2019,https://boxd.it/jWEA
2023-08-21,The Batman,2022,https://boxd.it/eDGs
2023-08-21,Barbie,2023,https://boxd.it/bCLK
2023-08-21,Interstellar,2014,https://boxd.it/4VZ8
2023-08-21,Pulp Fiction,1994,https://boxd.it/29Pq
2023-08-21,Get Out,2017,https://boxd.it/eOCm
2023-08-21,Whiplash,2014,https://boxd.it/7bQA
2023-08-21,La La Land,2016,https://boxd.it/a5fa
2023-08-21,Inception,2010,https://boxd.it/1skk
2023-08-21,The Dark Knight,2008,https://boxd.it/2b0k
2023-08-21,The Truman Show,1998,https://boxd.it/18U8
2023-08-21,The Menu,2022,https://boxd.it/lScm
2023-08-21,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2023-08-21,Dune,2021,https://boxd.it/fA7G
2023-08-21,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2023-08-21,Spirited Away,2001,https://boxd.it/2b4m
2023-08-21,The Shining,1980,https://boxd.it/29Nu
2023-08-21,Glass Onion,2022,https://boxd.it/oCkK
2023-08-21,Inglourious Basterds,2009,https://boxd.it/1JzG
2023-08-21,Oppenheimer,2023,https://boxd.it/wUow
2023-08-21,Baby Driver,2017,https://boxd.it/bhF2
2023-08-21,Forrest Gump,1994,https://boxd.it/728
2023-08-21,Her,2013,https://boxd.it/4O24
2023-08-21,Black Panther,2018,https://boxd.it/8MHs
2023-08-21,Se7en,1995,https://boxd.it/29zs
2023-08-21,Django Unchained,2012,https://boxd.it/2cCk
2023-08-21,The Social Network,2010,https://boxd.it/17ue
2023-08-21,The Godfather,1972,https://boxd.it/2aNK
2023-08-21,The Silence of the Lambs,1991,https://boxd.it/2aHW
2023-08-21,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2023-08-21,The Matrix,1999,https://boxd.it/2a1m
2023-08-21,Taxi Driver,1976,https://boxd.it/2b8y
2023-08-21,Call Me by Your Name,2017,https://boxd.it/dYmm
2023-08-21,Shutter Island,2010,https://boxd.it/1U82
2023-08-21,Ratatouille,2007,https://boxd.it/27ww
2023-08-21,Arrival,2016,https://boxd.it/aNGk
2023-08-21,Don't Look Up,2021,https://boxd.it/o0Hc
2023-08-21,Blade Runner 2049,2017,https://boxd.it/b8wK
2023-08-21,The Lighthouse,2019,https://boxd.it/icFU
2023-08-21,The Shawshank Redemption,1994,https://boxd.it/2aHi
2023-08-21,Us,2019,https://boxd.it/gnV6
2023-08-21,Drive,2011,https://boxd.it/IG
2023-08-21,Soul,2020,https://boxd.it/ioLA
2023-08-21,Top Gun: Maverick,2022,https://boxd.it/cjr4
2023-08-21,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2023-08-21,Star Wars,1977,https://boxd.it/72s
2023-08-21,Dead Poets Society,1989,https://boxd.it/2aSg
2023-08-21,Deadpool,2016,https://boxd.it/9fOC
2023-08-21,Donnie Darko,2001,https://boxd.it/2b2A
2023-08-21,Uncut Gems,2019,https://boxd.it/gXGc
2023-08-21,Inside Out,2015,https://boxd.it/4KHC
2023-08-21,Dunkirk,2017,https://boxd.it/d0Y6
2023-08-21,Up,2009,https://boxd.it/1OEc
2023-08-21,Back to the Future,1985,https://boxd.it/2b8e
2023-08-21,Titanic,1997,https://boxd.it/2a2k
2023-08-21,Avatar,2009,https://boxd.it/1Efm
2023-08-21,WALL·E,2008,https://boxd.it/1VEo
2023-08-21,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-08-21,Little Miss Sunshine,2006,https://boxd.it/29EW
2023-08-21,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie
2023-08-21,Nightcrawler,2014,https://boxd.it/780m
2023-08-21,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2023-08-21,No Country for Old Men,2007,https://boxd.it/21ew
2023-08-21,Good Will Hunting,1997,https://boxd.it/2ahY
2023-08-21,Tenet,2020,https://boxd.it/leq4
2023-08-21,It,2017,https://boxd.it/bC8e
2023-08-21,Iron Man,2008,https://boxd.it/28dA
2023-08-21,Memento,2000,https://boxd.it/2bcK
2023-08-21,(500) Days of Summer,2009,https://boxd.it/1EmM
2023-08-21,Toy Story,1995,https://boxd.it/29qA
2023-08-21,A Clockwork Orange,1971,https://boxd.it/2aVE
2023-08-21,Jurassic Park,1993,https://boxd.it/2aA2
2023-08-21,The Incredibles,2004,https://boxd.it/1XLm
2023-08-21,Catch Me If You Can,2002,https://boxd.it/29VS
2023-08-21,My Neighbor Totoro,1988,https://boxd.it/20eA
2023-08-21,Mean Girls,2004,https://boxd.it/1VNg
2023-08-21,Finding Nemo,2003,https://boxd.it/72i
2023-08-21,Shrek,2001,https://boxd.it/29zi
2023-08-21,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2023-08-21,Requiem for a Dream,2000,https://boxd.it/29VI
2023-08-21,Lost in Translation,2003,https://boxd.it/2b0E
2023-08-21,Ex Machina,2015,https://boxd.it/7T2k
