Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61354484,Meditations: A New Translation,Marcus Aurelius,"Aurelius, Marcus",Gregory Hays,"=""""","=""9798466327175""",4,4.28,,Paperback,,2021,180,2023/05/05,2023/05/05,,,read,,,,1,0
35511,Pathways to Bliss: Mythology and Personal Transformation,Joseph Campbell,"Campbell, Joseph",David Kudler,"=""1577314719""","=""9781577314714""",0,4.35,New World Library,Hardcover,224,2004,2004,,2024/06/28,to-read,to-read (#1252),to-read,,,,0,0
215097334,Scientific Thought: A Philosophical Analysis of some of its fundamental concepts (International Library of Philosophy),C.D. Broad,"Broad, C.D.",,"=""""","=""""",0,0.0,Routledge,Kindle Edition,0,2014,,,2024/06/27,to-read,to-read (#1251),to-read,,,,0,0
60371681,C. D. Broad: Key Unpublished Writings: Key Unpublished Writings,C.D. Broad,"Broad, C.D.","Simon Blackburn, Joel Walmsley","=""0367532522""","=""9780367532529""",0,4.00,Routledge,Hardcover,390,2022,,,2024/06/27,to-read,to-read (#1250),to-read,,,,0,0
8320983,Beauty and Other Forms of Value (Thoemmes Press - Thoemmes Library of British Philosophers),Samuel   Alexander,"Alexander, Samuel",John Slater,"=""1843713128""","=""9781843713128""",0,4.00,Thoemmes Continuum,Hardcover,318,2003,2003,,2024/06/27,to-read,to-read (#1249),to-read,,,,0,0
271839,"Space, Time and Deity: The Gifford Lectures at Glasgow Part One",Samuel   Alexander,"Alexander, Samuel",,"=""0766187012""","=""9780766187016""",0,3.91,Kessinger Publishing,Paperback,396,2004,2004,,2024/06/27,to-read,to-read (#1248),to-read,,,,0,0
4558582,Emergent Evolution: The Gifford Lectures Delivered in the University of St. Andrews in the Year 1922,Conwy Lloyd Morgan,"Morgan, Conwy Lloyd",,"=""1406700967""","=""9781406700961""",0,4.50,Chandra Chakravarti Pr,Paperback,313,2007,2007,,2024/06/27,to-read,to-read (#1247),to-read,,,,0,0
207611493,Letters,Oliver Sacks,"Sacks, Oliver",,"=""0451492919""","=""9780451492913""",0,5.00,Knopf,Hardcover,752,2024,,,2024/06/25,to-read,to-read (#1246),to-read,,,,0,0
896539,Emergence: From Chaos To Order,John H. Holland,"Holland, John H.",,"=""0738201421""","=""9780738201429""",0,3.99,Basic Books,Paperback,272,1999,1998,,2024/06/22,to-read,to-read (#1245),to-read,,,,0,0
7031847,Selected Poetry of Francisco de Quevedo: A Bilingual Edition,Francisco de Quevedo,"Quevedo, Francisco de",Christopher  Johnson,"=""0226698890""","=""9780226698892""",0,4.14,University of Chicago Press,Hardcover,240,2009,1645,,2024/06/21,to-read,to-read (#1244),to-read,,,,0,0
19407949,Amadis de Gaula Vol 1,Garci Rodríguez de Montalvo,"Montalvo, Garci Rodríguez de",,"=""""","=""""",0,3.68,Catedra,Paperback,944,2006,1508,,2024/06/21,to-read,to-read (#1243),to-read,,,,0,0
5465034,Travels in Syria and the Holy Land,John Lewis Burckhardt,"Burckhardt, John Lewis",,"=""1426432771""","=""9781426432774""",0,4.02,Bibliobazaar,Paperback,584,2008,1850,,2024/06/20,to-read,to-read (#1242),to-read,,,,0,0
12462471,"Notes on the Bedouins and Wahabys: Collected During His Travels in the East (Cambridge Library Collection - Travel, Middle East and Asia Minor) (Volume 2)",John Lewis Burckhardt,"Burckhardt, John Lewis",William Ouseley,"=""1108022901""","=""9781108022903""",0,3.65,Cambridge University Press,Paperback,402,2010,1991,,2024/06/20,to-read,to-read (#1241),to-read,,,,0,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.25,Knopf,Hardcover,352,2024,2024,,2024/06/11,to-read,to-read (#1240),to-read,,,,0,0
62039276,"Fancy Bear Goes Phishing: The Dark History of the Information Age, in Five Extraordinary Hacks",Scott J. Shapiro,"Shapiro, Scott J.",,"=""0374601178""","=""9780374601171""",0,3.97,"Farrar, Straus and Giroux",Hardcover,420,2023,2023,,2024/06/11,to-read,to-read (#1239),to-read,,,,0,0
208894906,"Water, Water: Poems",Billy Collins,"Collins, Billy",,"=""0593731026""","=""9780593731024""",0,4.43,Random House,Hardcover,144,2024,,,2024/06/08,to-read,to-read (#1238),to-read,,,,0,0
205478740,The Extinction of Experience: Being Human in a Disembodied World,Christine Rosen,"Rosen, Christine",,"=""0393241718""","=""9780393241716""",0,0.0,W. W. Norton & Company,Hardcover,272,2024,,,2024/06/07,to-read,to-read (#1237),to-read,,,,0,0
209615830,Viewfinder: A Memoir of Seeing and Being Seen,Jon M. Chu,"Chu, Jon M.",Jeremy McCarter,"=""0593448944""","=""9780593448946""",0,4.62,Random House,Hardcover,304,2024,,,2024/06/07,to-read,to-read (#1236),to-read,,,,0,0
199464007,The Price She Pays: Confronting the Hidden Mental Health Crisis in Women's Sports―from the Schoolyard to the Stadium,Tiffany  Brown,"Brown, Tiffany","Erin Strout, Katie Steele","=""0316567477""","=""9780316567473""",0,4.44,"Little, Brown Spark",Hardcover,288,2024,,,2024/06/07,to-read,to-read (#1235),to-read,,,,0,0
200283776,"A Post-Truth World: Politics, Polarization, and a Vision for Transcending the Chaos",Ken Wilber,"Wilber, Ken",,"=""1645473554""","=""9781645473558""",0,0.0,Shambhala,Paperback,184,2024,,,2024/06/07,to-read,to-read (#1234),to-read,,,,0,0
205478847,Explorers: A New History,Matthew Lockwood,"Lockwood, Matthew",,"=""132407387X""","=""9781324073871""",0,4.50,W. W. Norton & Company,Hardcover,176,2024,,,2024/06/05,to-read,to-read (#1233),to-read,,,,0,0
205478787,"Paris in Ruins: Love, War, and the Birth of Impressionism",Sebastian Smee,"Smee, Sebastian",,"=""1324006951""","=""9781324006954""",0,4.00,W. W. Norton & Company,Hardcover,384,2024,,,2024/06/05,to-read,to-read (#1232),to-read,,,,0,0
199374310,Coming of Age: How Adolescence Shapes Us,Lucy Foulkes,"Foulkes, Lucy",,"=""1529926629""","=""9781529926620""",0,5.00,Vintage Digital,Kindle Edition,227,2024,,,2024/06/05,to-read,to-read (#1231),to-read,,,,0,0
5755,The Language Instinct: How the Mind Creates Language,Steven Pinker,"Pinker, Steven",,"=""0060958332""","=""9780060958336""",0,4.01,Harper Perennial Modern Classics,Paperback,448,2000,1994,,2024/06/05,to-read,to-read (#1230),to-read,,,,0,0
837037,Robot: Mere Machine to Transcendent Mind,Hans Moravec,"Moravec, Hans",,"=""0195136306""","=""9780195136302""",0,4.06,Oxford University Press,Paperback,240,2000,1998,,2024/06/05,to-read,to-read (#1229),to-read,,,,0,0
648195,Mind Children: The Future of Robot and Human Intelligence,Hans Moravec,"Moravec, Hans",,"=""0674576187""","=""9780674576186""",0,4.07,Harvard University Press,Paperback,224,1990,1990,,2024/06/05,to-read,to-read (#1228),to-read,,,,0,0
61049,Autobiography of Red: A Novel in Verse,Anne Carson,"Carson, Anne",Stesichorus,"=""037570129X""","=""9780375701290""",0,4.27,Vintage Books,Paperback,160,1999,1998,,2024/06/01,to-read,to-read (#1227),to-read,,,,0,0
111113,Interaction of Color,Josef Albers,"Albers, Josef",Nicholas Fox Weber,"=""0300115954""","=""9780300115956""",0,4.06,Yale University Press,Paperback,160,2006,1971,,2024/06/01,to-read,to-read (#1226),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.04,Penguin Press,Hardcover,246,2019,2019,,2024/05/31,to-read,to-read (#1225),to-read,,,,0,0
23841432,Night Sky with Exit Wounds,Ocean Vuong,"Vuong, Ocean",,"=""""","=""""",0,4.20,Copper Canyon Press,Paperback,89,2016,2016,,2024/05/31,to-read,to-read (#1224),to-read,,,,0,0
159322,Wind in a Box,Terrance Hayes,"Hayes, Terrance",,"=""0143036866""","=""9780143036869""",0,4.26,Penguin Books,Paperback,112,2006,2006,,2024/05/31,to-read,to-read (#1223),to-read,,,,0,0
36479356,American Sonnets for My Past and Future Assassin,Terrance Hayes,"Hayes, Terrance",,"=""0143133187""","=""9780143133186""",0,4.28,Penguin Books Ltd,Paperback,91,2018,2018,,2024/05/31,to-read,to-read (#1222),to-read,,,,0,0
405981,Dancing in Odessa,Ilya Kaminsky,"Kaminsky, Ilya",,"=""1932195122""","=""9781932195125""",0,4.23,Tupelo Press,Paperback,58,2004,2004,,2024/05/31,to-read,to-read (#1221),to-read,,,,0,0
40121980,Deaf Republic,Ilya Kaminsky,"Kaminsky, Ilya",,"=""1555978312""","=""9781555978310""",0,4.40,Graywolf Press,Paperback,80,2019,2019,,2024/05/31,to-read,to-read (#1220),to-read,,,,0,0
204593511,The Lantern of Lost Memories,Sanaka Hiiragi,"Hiiragi, Sanaka",,"=""1538757435""","=""9781538757437""",0,4.04,Grand Central Publishing,Hardcover,208,2024,2019,,2024/05/26,to-read,to-read (#1219),to-read,,,,0,0
195790896,Anima: A Wild Pastoral,Kapka Kassabova,"Kassabova, Kapka",,"=""1644453002""","=""9781644453001""",0,4.80,Graywolf Press,Paperback,400,2024,,,2024/05/26,to-read,to-read (#1218),to-read,,,,0,0
133388212,"Women's Work: The First 20,000 Years",Elizabeth Wayland Barber,"Barber, Elizabeth Wayland",,"=""132407602X""","=""9781324076025""",0,4.32,W. W. Norton & Company,Paperback,384,2024,1994,,2024/05/26,to-read,to-read (#1217),to-read,,,,0,0
174060363,Euphoria,F.S. Yousaf,"Yousaf, F.S.",,"=""""","=""""",2,3.62,,Paperback,,2018,2018,2024/05/22,2024/05/22,,,read,,,,1,0
34459,Metaphors We Live By,George Lakoff,"Lakoff, George",Mark Johnson,"=""0226468011""","=""9780226468013""",5,4.10,University of Chicago Press,Paperback,276,2003,1980,2024/05/19,2024/03/08,,,read,,,,1,0
1395977,Parapolitics: Towards the City of Man,Raghavan N. Iyer,"Iyer, Raghavan N.",,"=""0195025962""","=""9780195025965""",0,4.11,Oxford Univ Pr,Hardcover,,1979,1985,,2024/05/17,to-read,to-read (#1216),to-read,,,,0,0
17945601,MindWar,Michael A. Aquino,"Aquino, Michael A.","William Henry Anderson, Gregory S. Seese","=""1484926455""","=""9781484926451""",0,3.92,CreateSpace Independent Publishing Platform,Paperback,206,2013,2013,,2024/05/17,to-read,to-read (#1215),to-read,,,,0,0
7245390,The Black Corsair,Emilio Salgari,"Salgari, Emilio",Nico Lorenzutti,"=""0978270789""","=""9780978270780""",0,3.86,ROH Press,Paperback,292,2011,1898,,2024/05/16,to-read,to-read (#1214),to-read,,,,0,0
7231024,From Disgust to Humanity: Sexual Orientation and Constitutional Law,Martha C. Nussbaum,"Nussbaum, Martha C.",,"=""0195305310""","=""9780195305319""",0,4.00,Oxford University Press,Hardcover,209,2010,2010,,2024/05/16,to-read,to-read (#1213),to-read,,,,0,0
35297299,The Monarchy of Fear: A Philosopher Looks at Our Political Crisis,Martha C. Nussbaum,"Nussbaum, Martha C.",,"=""1501172492""","=""9781501172496""",0,3.59,Simon & Schuster,Hardcover,272,2018,,,2024/05/16,to-read,to-read (#1212),to-read,,,,0,0
7650765,Not for Profit: Why Democracy Needs the Humanities,Martha C. Nussbaum,"Nussbaum, Martha C.",,"=""0691140642""","=""9780691140643""",0,3.63,Princeton University Press,Hardcover,158,2010,2010,,2024/05/16,to-read,to-read (#1211),to-read,,,,0,0
