Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date,Language,Director,Movie Poster
2/4/2024,The Day After Tomorrow,2004,https://boxd.it/5L0jAF,3.5,,"<blockquote>
“To England!”
”To Mankind!”
”To Manchester United!”</blockquote>The shots of the wave pouring through the streets of New York were awesome. I couldn’t get over how often Dennis Quaid sounds like Will Ferrel in this movie.",,2/3/2024,English,Roland Emmerich,https://i.ebayimg.com/images/g/owMAAOSwvk1f2LCM/s-l1600.jpg
1/26/2024,Contact,1997,https://boxd.it/5GBRsJ,3.5,,"<blockquote>
“First rule in government spending: why build one when you can have two at twice the price?”</blockquote>Definitely my favorite use of oscilloscopes in film so far.",,1/25/2024,English,Robert Zemeckis,https://m.media-amazon.com/images/S/pv-target-images/b5b00fd24a1ed0c8e701c50e224cd37e124df958fd72e9437daed1c4f6704686.jpg
1/25/2024,The Third Man,1949,https://boxd.it/5G3TqH,4,,"<blockquote>“Not a sort of thing l should confess to a stranger, but you have to break the rules sometimes. Humanity - is a duty.”</blockquote>At multiple points I was impressed with the realistic emotions in the actors’ eyes. The zither in the score rocked and it came as no surprise that in a 2014 interview about the score of Grand Budapest Hotel, Wes Anderson said: “<i>I sort of also thought of Third Man with that Anton Karas theme using the zither. We didn't use it, but were inspired by it in a way.</i>” (Credit to Griffin for putting his finger on what the music reminded us of) 

Only note is there should be more stray cat scenes.",,1/24/2024,English,Carol Reed,"https://m.media-amazon.com/images/I/71-U+ePvOeL._AC_UF894,1000_QL80_.jpg"
1/20/2024,Mean Girls,2024,https://boxd.it/5DA28T,4,,Somehow feels like this was always made to be a Gen Z movie and now we have it in all its Tik Tok glory.,,1/19/2024,English,Samantha Jayne & Arturo Perez Jr.,https://xl.movieposterdb.com/23_11/2024/11762114/xl_mean-girls-movie-poster_ab9845ae.jpg
1/15/2024,The Full Monty,1997,https://boxd.it/5B2P25,4.5,,"<blockquote>“They won’t say nowt about your personality neither. Which is good because you’re basically a bastard. Bollocks to your personality - this is what they’re looking at, right? And I’ll tell you summat mate. Anti-wrinkle cream there may be, but anti-fat-bastard cream there is none.”</blockquote>
I often struggle with British comedies, but this was incredibly enjoyable. I was impressed with its subtlety of acting juxtaposed with its outrageous situations.",,1/14/2024,English,Peter Cattaneo,https://xl.movieposterdb.com/14_10/1997/119164/xl_119164_c2be6ab8.jpg
1/15/2024,Mystery Team,2009,https://boxd.it/5B79qf,3.5,,"<blockquote>“When I was fifteen years old, when I got this job, I said to myself, ‘I am going to work here until the day that I kill myself.’""</blockquote>
I have absolutely no idea who this movie was made for, but I’m so happy it got made. Out of pocket is the only way to describe the comedy style, and aside from the bodily function humor which was hard to sit through, most of it landed.",,1/14/2024,English,Dan Eckman,https://m.media-amazon.com/images/M/MV5BMjA0MzI5ODYyMl5BMl5BanBnXkFtZTcwNTEwOTQzMg@@._V1_.jpg
1/12/2024,Reservoir Dogs,1992,https://boxd.it/5zoAC9,3,,"<blockquote>“You don't need proof when you have instinct.”</blockquote>I get that the writing is supposed to be more crass and simple to reflect the characters, but I felt the result was that it left them underdeveloped. Great classic plot, good pacing, well edited. Just missing a little something.",,1/12/2024,English,Quentin Tarantino,https://northernhighlights.org/wp-content/uploads/2020/02/res-dogs3.jpg
1/10/2024,The Iron Giant,1999,https://boxd.it/5yk6Kv,4.5,,"<blockquote>“If we don’t stick up for the cooks, who will?”</blockquote>Everything a family movie should be.",,1/9/2024,English,Brad Bird,"https://m.media-amazon.com/images/I/71qA-1KI6KL._AC_UF894,1000_QL80_.jpg"
1/8/2024,Bob Roberts,1992,https://boxd.it/5x7X27,4,,"<blockquote>The reason that Iran-Contra happened is because nobody did anything substantial about Watergate. And the reason that Watergate happened is that there were no consequences from the Bay of Pigs. They are all the same operatives, didn't you notice? The foot soldiers in the Bay of Pigs, the plumbers that got busted at Watergate, the gunrunners in Iran contra: they are all the same people. The same faces. Now it doesn't take a genius to make the connection here. A secret government beyond the control of the people and accountable to no-one. And the closer we are to discovering the connection, the more the Congress turns a blind eye to it. ""We can't talk about that in open session!"" they say. ""National security reasons"". The truth lies dormant in their laps and they stay blind out of choice. A conspiracy of silence.</blockquote>
At multiple points I had to re-confirm that this movie was from ‘92. Holds up creepily well. Team America World Police may have made fun of Tim Robbins for this, but I think Robbins got the last laugh with a much sharper and lasting satire.",,1/7/2024,English,Tim Robbins,"https://m.media-amazon.com/images/I/51SnfJ6jF3L._AC_UF894,1000_QL80_.jpg"
1/7/2024,The Wolf of Snow Hollow,2020,https://boxd.it/5wgxp9,3,,"<blockquote>“You want people to stop talking shit about the police? Do better police work.”</blockquote>Too many jump scares and too much gore for my taste, but way less than in a typical werewolf movie. Would have liked more mystery but didn’t dislike the choices it made.",,1/6/2024,English,Jim Cummings,https://xl.movieposterdb.com/21_11/2020/11140488/xl_11140488_4dd653bb.jpg?v=2023-11-12%2008:46:36
1/6/2024,Team America: World Police,2004,https://boxd.it/5vAWjB,2,,"""<i>We've lost intelligence! I repeat, we have no intelligence!</i>"" about sums it up. 

The puking scene was unbearable and the puppets were just so hard to handle. The satire was decent but every joke was repeated a half dozen times until you were tired of it.",,1/5/2024,English,Trey Parker,https://xl.movieposterdb.com/06_02/2004/0372588/xl_92514_0372588_1a17c74b.jpg?v=2022-10-24%2022:15:28
1/5/2024,"I Love You, Man",2009,https://boxd.it/5uYOJZ,2.5,,"<blockquote>“I love you, Broseph Goebbels.”</blockquote>
One of those 2000s comedies where even the extras are big name stars.",,1/4/2024,English,John Hamburg,https://xl.movieposterdb.com/09_02/2009/1155056/xl_1155056_b99d9d0a.jpg?v=2022-04-21%2011:57:30
1/7/2024,Moulin Rouge!,2001,https://boxd.it/5wqUfV,4,Yes,"<blockquote>“Without trust, there can be no love. Jealousy, yes, jealousy will drive you mad.”</blockquote>
Watched again with the family in full. 

This movie starts at 11 and stays there the entire time. Just wonderful.",,12/30/2023,English,Baz Luhrmann,https://xl.movieposterdb.com/14_04/2001/203009/xl_203009_75d188b7.jpg?v=2023-08-10%2010:56:29
12/30/2023,Wonka,2023,https://boxd.it/5rbJGB,3.5,,"<blockquote>Noodle: “The greedy beat the needy, Willy. That’s just the way of the world.”</blockquote><blockquote>Willy: “I guess that’s why there’s only one thing we can do.”</blockquote><blockquote>Noodle: “What’s that?”
</blockquote><blockquote>Willy : “Change the world!”
</blockquote>
Not unlike the experience of eating an entire bar of chocolate. Overwhelmingly sweet, great for a few bites and then it just keeps going. The acting was really good though.",,12/29/2023,English,Paul King,https://xl.movieposterdb.com/24_01/2023/6166392/xl_wonka-movie-poster_7f3d2b2e.jpg
12/28/2023,A Haunting in Venice,2023,https://boxd.it/5q2C9D,4,,Tina Fey took me out of it a little bit but otherwise a very solid whodunit,,12/27/2023,English,Kenneth Branagh,https://xl.movieposterdb.com/23_11/2023/22687790/xl_a-haunting-in-venice-movie-poster_3756827c.jpg?v=2023-11-02%2017:09:44
12/22/2023,The Law,1990,https://boxd.it/5n32lj,4,,"A simple movie, but in a humble way and not a small way. Many of the landscape shots were visually and conceptually remarkable and are likely to stick with me.",,12/21/2023,Fulah,Idrissa Ouedraogo,https://media.themoviedb.org/t/p/w500/3QAs2mBDmb7O4Dfri4ESdFrxSKD.jpg
12/17/2023,The Barkley Marathons: The Race That Eats Its Young,2014,https://boxd.it/5kOrjp,4,,Really makes one want to get into speed hiking,,12/16/2023,English,Annika Iltis & Timothy James Kane,https://m.media-amazon.com/images/S/pv-target-images/eeec1667bb669b53e52e2891b3cb8ab9451b54b5beaa7100242fd0da865af4c0.jpg
12/2/2023,Beyond the Infinite Two Minutes,2020,https://boxd.it/5fPFT9,4.5,,"Endearing, Scrappy, Charming, Clever. Alone with Primer far atop my leaderboard for time travel movies",,12/1/2023,Japanese,Junta Yamaguchi,https://m.media-amazon.com/images/S/pv-target-images/35274158f448fd91f6d7a14cc3748e6d84e566279bed9d2bdb38312c8b10cccc.jpg
