ID,Image,Year,Text,Type,Notes,Associated Person,Origin,Owned,Sold,Dimen-sions,Grade,Repro- duction?,Original Year,Links,Set ID,Number in Set
1,Photo,,"National Aquatic Program, YMCA, Minnow Club",Club,,,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,0,,https://www.collectors.com/historical-item/vintage-national-aquatic-program-ymca-minnow-club-pin-back/2936291321283381262,,
2,Photo,1956,"Stevenson, Kefauver",Presidential Campaign Pin,,"Adlai Stevenson, John Sparkman ","Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,0,,https://www.collectors.com/historical-item/vintage-political-button-campaign-pin-1956-stevenson-kefauv/-5706609060539389217,,
3,Photo,1967,I'm Fer Elmer,Congressional Campaign Pin,"Elmer J. Hoffman was elected Illinois State Treasurer in 1952 and reelected in 1956. Hoffman went on to serve three terms in the U.S. House of Representatives from 1959-1965. He used the slogan, ""I'm Fer Elmer"", for all of his campaigns. This button is likely from one of his Congressional campaigns.

In 1967, Elmer Johnson ran for mayor of Wheaton, Illinois using the same slogan. Hoffman, who was also residing in Wheaton at the time, did not approve of Johnson's use of the slogan and publicly spoke out against it.",Elmer J. Hoffman,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,0,,"https://www.buttonmuseum.org/buttons/im-fer-elmer
",,
4,Photo,1949,"UAW-CLO, Jan. Feb.,1949",Union,UAW-CLO Auto Workers Union Pin,,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,Poor,0,,,,
5,Photo,1972,Go Forward With Stevenson Sparkman,Presidential Campaign Pin,"This button was produced by the American Oil Company (AMOCO) in 1972 as a promotion. It is a reproduction of a past presidential political campaign pin. The AMOCO set included 38 lithographed buttons. Each button was originally marked ""A-O-1972-X"" (X being the number 1 through 38) on the bottom curl. This string of numbers is somewhat confusing and is frequently not understood to be a date. Some collectors try to obtain full collections of these promotional buttons.","Adlai Stevenson, John Sparkman ","Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,1,1952,https://www.collectors.com/search?searchterm=Go%20forward%20with%20Stevenson%20sparkman,1,30
6,Photo,1957,"7Up, Zorro",Advertising,"7Up Zorro Promo Pin

With the number of advertisements that appear in television shows these days, it's somewhat hard to believe that Zorro only had two sponsors, the 7-Up soft drink company and the AC Spark Plug Division of General Motors. Many series aired during the 1950s actually were owned and sponsored by advertising companies, so it was not all that unusual a practice back then for most, or even all, of the commercials in a show to come from just one company. Interest in Zorro was so high, though, that the Studio was able to land two lucrative contracts to fund the expensive series.

Walt went all out in his effort to obtain 7-Up's backing, including an appearance in a film made for the soft drink bottlers and their distributors. Cracking Zorro's whip for emphasis, Walt explained the premise of the series, using models of the as-of-yet unbuilt outdoor sets, as well as samples of the costumes. The sales pitch was successful and 7-Up agreed to participate in a series of joint promotions with Disney, not all tied in with Zorro. For example, Annette and Roberta Shore were seen promoting The Shaggy Dog with a toast of 7-Up in publicity photos and ads. Source",,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,0,,https://www.collectors.com/search?searchterm=7up%20zorro%20pin&days=Any&lowprice=Any&highprice=Any&sellerexclude=false,,
7,Photo,1972,For President Charles E. Hughes,Presidential Campaign Pin,"This button was produced by the American Oil Company (AMOCO) in 1972 as a promotion. It is a reproduction of a 1916 Charles E. Hughes For President Political Campaign Pin. The AMOCO set included 38 lithographed buttons. Each button was originally marked ""A-O-1972-X"" (X being the number 1 through 38) on the bottom curl. This string of numbers is somewhat confusing and is frequently not understood to be a date. Some collectors try to obtain full collections of these promotional buttons.",Charles E. Hughes,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,1,,,1,12
8,Photo,1972,Win With Wilson,Presidential Campaign Pin,"This button was produced by the American Oil Company (AMOCO) in 1972 as a promotion. It is a reproduction of a Woodrow Wilson presidential political campaign pin. The AMOCO set included 38 lithographed buttons. Each button was originally marked ""A-O-1972-X"" (X being the number 1 through 38) on the bottom curl. This string of numbers is somewhat confusing and is frequently not understood to be a date. Some collectors try to obtain full collections of these promotional buttons.",Woodrow Wilson,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,1,1912,,1,9
9,Photo,1972,"I'm For Free Silver, High Admiral Cigarette",Presidential Campaign Pin,"This button was produced by the American Oil Company (AMOCO) in 1972 as a promotion. It is a reproduction of a William Jennings Bryan presidential political campaign pin. The AMOCO set included 38 lithographed buttons. Each button was originally marked ""A-O-1972-X"" (X being the number 1 through 38) on the bottom curl. This string of numbers is somewhat confusing and is frequently not understood to be a date. Some collectors try to obtain full collections of these promotional buttons.",Wiilliam Jennings Bryan,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,1,1886,,1,2
10,Photo,1972,Smith For President,Presidential Campaign Pin,"This button was produced by the American Oil Company (AMOCO) in 1972 as a promotion. It is a reproduction of an Al Smith presidential political campaign pin. The AMOCO set included 38 lithographed buttons. Each button was originally marked ""A-O-1972-X"" (X being the number 1 through 38) on the bottom curl. This string of numbers is somewhat confusing and is frequently not understood to be a date. Some collectors try to obtain full collections of these promotional buttons.",Al Smith,"Junk Drawer Lot of 48 Pins, Ebay 06/22/2020",1,0,,,1,1928,,1,18
