Model,Model Version,Prompt,Artist Palette,File Name
Midjourney,6,Lunacy by Aïda Muluneh,Aïda Muluneh,flathers_Lunacy_by_Ada_Muluneh_--ar_169_7820a17c-4b6b-4700-a0eb-a210e0dfe23d.png
Midjourney,6,Lunacy by Alessandro Gottardo and Childe Hassam,Alessandro Gottardo|Childe Hassam,flathers_Lunacy_by_Alessandro_Gottardo_and_Childe_Hassam_--ar_3_8d3c9b7c-f015-423f-83d1-c51a9580ff1a.png
Midjourney,6,Lunacy by Alessandro Gottardo and Félix Vallotton,Alessandro Gottardo|Félix Vallotton,flathers_Lunacy_by_Alessandro_Gottardo_and_Felix_Vallotton_--ar_5371ea86-e98c-4ee2-9663-ae3fb79f565a.png
Midjourney,6,Lunacy by Anthony McCall,Anthony McCall,flathers_Lunacy_by_Anthony_McCall_--ar_169_284a628d-5ac5-4169-8040-f113529db98a.png
Midjourney,6,Lunacy by Caravaggio,Caravaggio,flathers_Lunacy_by_Caravaggio_--ar_169_1b5c128b-dd7d-48b1-beb0-0489f0d94817.png
Midjourney,6,Lunacy by Childe Hassam and Georgia O'Keeffe,Childe Hassam|Georgia O'Keeffe,flathers_Lunacy_by_Childe_Hassam_and_Georgia_OKeefe_--ar_32_ab3154fd-df0e-4fea-84f6-13040ced982c.png
Midjourney,6,Lunacy by Edward Potthast and Félix Vallotton,Edward Potthast|Félix Vallotton,flathers_Lunacy_by_Edward_Potthast_and_Felix_Vallotton_--ar_32_59b62020-f502-476a-8058-1376f9d180ce.png
Midjourney,6,Lunacy by Erté,Erté,flathers_Lunacy_by_Ert_--ar_169_5118c3ad-4bd3-4e93-9e47-1239b1bcc935.png
Midjourney,6,Lunacy by Félix Vallotton,Félix Vallotton,flathers_Lunacy_by_Felix_Vallotton_--ar_32_2bf56343-116f-492a-914b-9fb074994bce.png
Midjourney,6,Lunacy by Félix Vallotton,Félix Vallotton,flathers_Lunacy_by_Felix_Vallotton_--ar_32_a58f51ac-a6dc-4e32-9aaf-1318fede3f31.png
Midjourney,6,Lunacy by Georges Lacombe and Claude Monet,Georges Lacombe|Claude Monet,flathers_Lunacy_by_Georges_Lacombe_and_Claude_Monet_--ar_32_6af1b701-e7d0-4444-a370-d72f95e46709_1.png
Midjourney,6,Lunacy by Giotto,Giotto,flathers_Lunacy_by_Giotto_--ar_169_111363b3-aab9-4076-a5eb-ee6e21ccdd84.png
Midjourney,6,Lunacy by Gustave Doré and Félix Vallotton,Gustave Doré|Félix Vallotton,flathers_Lunacy_by_Gustave_Dor_and_Felix_Vallotton_--ar_32_31e323d1-a4a9-487a-ac8c-cb653edbe88c.png
Midjourney,6,Lunacy by Henry Callahan,Henry Callahan,flathers_Lunacy_by_Harry_Callahan_--ar_169_7d8aa58f-1a17-4cd9-9865-102ae6d1b257.png
Midjourney,6,Lunacy by Hassan Hajjaj,Hassan Hajjaj,flathers_Lunacy_by_Hassan_Hajjaj_--ar_169_0f93334c-c970-478e-afd2-fe292416a342.png
Midjourney,6,Lunacy by James Turrell,James Turrell,flathers_Lunacy_by_James_Turrell_--ar_169_9b8d00ed-c8da-4f37-b56c-0fce07d7d37f.png
Midjourney,6,Lunacy by Juan Gris,Juan Gris,flathers_Lunacy_by_Juan_Gris_--ar_169_4e1b920f-a21b-4881-a791-912a2ca00131.png
Midjourney,6,Lunacy by Judy Chicago,Judy Chicago,flathers_Lunacy_by_Judy_Chicago_--ar_169_02c0da68-457c-4dd5-b5c1-9d8e76dba676.png
Midjourney,6,Lunacy by Kazimir Malevich and Félix Vallotton,Kazimir Malevich|Félix Vallotton,flathers_Lunacy_by_Kazimir_Malevich_and_Felix_Vallotton_--ar_16_1dd468ad-a825-42ea-af3f-87c81c9859ac.png
Midjourney,6,Lunacy by Kerry James Marshall,Kerry James Marshall,flathers_Lunacy_by_Kerry_James_Marshall_--ar_169_469fc583-0c9b-4367-a1c2-df17b4e9bdf0.png
Midjourney,6,Lunacy by Konstantin Korovin and Childe Hassam,Konstantin Korovin|Childe Hassam,flathers_Lunacy_by_Konstantin_Korovin_and_Childe_Hassam_--ar_32_6d21123d-d657-438f-9258-700a46b24021.png
Midjourney,6,Lunacy by Konstantin Korovin and Claude Monet,Konstantin Korovin|Claude Monet,flathers_Lunacy_by_Konstantin_Korovin_and_Claude_Monet_--ar_169_496bed9d-d716-4308-ae97-b69aa3022bda.png
Midjourney,6,Lunacy by Konstantin Korovin and Félix Vallotton,Konstantin Korovin|Félix Vallotton,flathers_Lunacy_by_Konstantin_Korovin_and_Felix_Valloton_--ar_3_801771fe-977b-43e9-a2e4-52a37be7e6d7.png
Midjourney,6,Lunacy by Lee Friedlander,Lee Friedlander,flathers_Lunacy_by_Lee_Friedlander_--ar_169_d117c350-bfa6-40e5-8edf-892a3cf6a1af.png
Midjourney,6,Lunacy by Leon Spilliaert and Franz Masereel,Leon Spilliaert|Franz Masereel,flathers_Lunacy_by_Leon_Spilliaert_and_Franz_Masereel_--ar_32_0f3d8063-adb4-4727-8899-3310578f1ed4.png
Midjourney,6,Lunacy by Liu Wei,Liu Wei,flathers_Lunacy_by_Liu_Wei_--ar_169_7075ad56-e0ea-4679-97a9-744f5df6b16e.png
Midjourney,6,Lunacy by N. C. Wyeth,N. C. Wyeth,flathers_Lunacy_by_N._C._Wyeth_--ar_32_d295d968-2960-4683-951e-3199b344e991.png
Midjourney,6,Lunacy by Paolo Uccello and Claude Monet,Paolo Uccello|Claude Monet,flathers_Lunacy_by_Paolo_Uccello_and_Claude_Monet_--ar_32_6bc84e73-d7a1-48a8-80b5-6212fe4f7c83.png
Midjourney,6,Lunacy by Paolo Uccello and Félix Vallotton,Paolo Uccello|Félix Vallotton,flathers_Lunacy_by_Paolo_Uccello_and_Felix_Vallotton_--ar_32_28395c2e-fddd-4928-ae47-ee01003ad007.png
Midjourney,6,Lunacy by Paolo Uccello and Hilma af Klint,Paolo Uccello|Hilma af Klint,flathers_Lunacy_by_Paolo_Uccello_and_Hilma_af_Klint_--ar_32_c4173080-8fd5-4574-9de9-a7ace54bd4c3.png
Midjourney,6,Lunacy by Paul Henry and Félix Vallotton,Paul Henry|Félix Vallotton,flathers_Lunacy_by_Paul_Henry_and_Felix_Vallotton_--ar_32_326af24e-d6a1-4f65-b078-1e68da618c64.png
Midjourney,6,Lunacy by Paul Henry and Félix Vallotton,Paul Henry|Félix Vallotton,flathers_Lunacy_by_Paul_Henry_and_Felix_Vallotton_--ar_32_e9b16ba7-80ce-4988-9e05-684bb9df7d74.png
Midjourney,6,Lunacy by Paul Henry and Félix Vallotton,Paul Henry|Félix Vallotton,flathers_Lunacy_by_Paul_Henry_and_Felix_Vallotton_--ar_169_891bf0c1-86d7-45fc-8a89-07c2381bcb09.png
